>*** Number of Items: 10900
[0] Type ID: 32772 Adj. Price: 470373.98
[1] Type ID: 32774 Adj. Price: 42157.51
[2] Type ID: 32780 Adj. Price: 934244.12
[3] Type ID: 32782 Adj. Price: 8.98
[4] Type ID: 32783 Adj. Price: 0
[5] Type ID: 18 Adj. Price: 39.91
[6] Type ID: 19 Adj. Price: 820.45
[7] Type ID: 20 Adj. Price: 220.41
[8] Type ID: 21 Adj. Price: 557.37
[9] Type ID: 32790 Adj. Price: 93780184726.71
[10] Type ID: 32792 Adj. Price: 5258665.29
[11] Type ID: 32793 Adj. Price: 14238505.99
[12] Type ID: 32797 Adj. Price: 402118.35
[13] Type ID: 32799 Adj. Price: 8675.59
[14] Type ID: 32801 Adj. Price: 73.97
[15] Type ID: 34 Adj. Price: 3.94
[16] Type ID: 35 Adj. Price: 5.45
[17] Type ID: 36 Adj. Price: 30.99
[18] Type ID: 37 Adj. Price: 61.2
[19] Type ID: 38 Adj. Price: 326.54
[20] Type ID: 39 Adj. Price: 550.53
[21] Type ID: 40 Adj. Price: 908.22
[22] Type ID: 41 Adj. Price: 0
[23] Type ID: 42 Adj. Price: 0
[24] Type ID: 43 Adj. Price: 0
[25] Type ID: 44 Adj. Price: 3162.44
[26] Type ID: 45 Adj. Price: 0
[27] Type ID: 32817 Adj. Price: 993686.97
[28] Type ID: 32818 Adj. Price: 0
[29] Type ID: 32819 Adj. Price: 844886.76
[30] Type ID: 32820 Adj. Price: 0
[31] Type ID: 32821 Adj. Price: 0
[32] Type ID: 32822 Adj. Price: 987703.02
[33] Type ID: 32823 Adj. Price: 0
[34] Type ID: 32824 Adj. Price: 0
[35] Type ID: 32825 Adj. Price: 0
[36] Type ID: 32826 Adj. Price: 0
[37] Type ID: 32827 Adj. Price: 0
[38] Type ID: 32828 Adj. Price: 249341.01
[39] Type ID: 32829 Adj. Price: 0
[40] Type ID: 32830 Adj. Price: 812312.52
[41] Type ID: 32831 Adj. Price: 577086.35
[42] Type ID: 32832 Adj. Price: 527249.54
[43] Type ID: 32833 Adj. Price: 593927.18
[44] Type ID: 32834 Adj. Price: 557161.27
[45] Type ID: 32835 Adj. Price: 631964.6
[46] Type ID: 32836 Adj. Price: 684752.61
